Gene name	Gene stable ID	Transcript stable ID
fam162a	ENSDARG00000063344	ENSDART00000131829
fam162a	ENSDARG00000063344	ENSDART00000144883
	ENSDARG00000097685	ENSDART00000156963
	ENSDARG00000097685	ENSDART00000161066
caly	ENSDARG00000036008	ENSDART00000137179
tmem177	ENSDARG00000069301	ENSDART00000100744
tmem177	ENSDARG00000069301	ENSDART00000160393
ostc	ENSDARG00000104901	ENSDART00000167980
vps37c	ENSDARG00000031836	ENSDART00000067621
vps37c	ENSDARG00000031836	ENSDART00000165084
rab9b	ENSDARG00000103391	ENSDART00000162322
rab9b	ENSDARG00000103391	ENSDART00000190378
tppp3	ENSDARG00000030463	ENSDART00000144327
tppp3	ENSDARG00000030463	ENSDART00000173911
tppp3	ENSDARG00000030463	ENSDART00000178732
	ENSDARG00000103031	ENSDART00000164747
	ENSDARG00000103031	ENSDART00000162001
slc39a9	ENSDARG00000070447	ENSDART00000103397
kif16bb	ENSDARG00000080018	ENSDART00000113661
mtx1b	ENSDARG00000036109	ENSDART00000052422
gpkow	ENSDARG00000029612	ENSDART00000047912
samd4a	ENSDARG00000075759	ENSDART00000154987
samd4a	ENSDARG00000075759	ENSDART00000108999
	ENSDARG00000068484	ENSDART00000173324
	ENSDARG00000068484	ENSDART00000173122
	ENSDARG00000068484	ENSDART00000160129
dync2i2	ENSDARG00000057635	ENSDART00000080347
dync2i2	ENSDARG00000057635	ENSDART00000123238
gria3a	ENSDARG00000032737	ENSDART00000137120
gria3a	ENSDARG00000032737	ENSDART00000049291
gria3a	ENSDARG00000032737	ENSDART00000147621
EML5	ENSDARG00000053517	ENSDART00000156885
EML5	ENSDARG00000053517	ENSDART00000157087
EML5	ENSDARG00000053517	ENSDART00000176637
zgc:174354	ENSDARG00000111826	ENSDART00000159554
zgc:174354	ENSDARG00000111826	ENSDART00000192041
zgc:174354	ENSDARG00000111826	ENSDART00000184520
	ENSDARG00000098335	ENSDART00000160594
	ENSDARG00000092715	ENSDART00000133466
	ENSDARG00000095834	ENSDART00000150157
creb3l1	ENSDARG00000015793	ENSDART00000024330
creb3l1	ENSDARG00000015793	ENSDART00000173945
creb3l1	ENSDARG00000015793	ENSDART00000172251
cdc42	ENSDARG00000044573	ENSDART00000155746
cdc42	ENSDARG00000044573	ENSDART00000154158
cdc42	ENSDARG00000044573	ENSDART00000180571
cdc42	ENSDARG00000044573	ENSDART00000189685
syt2a	ENSDARG00000025206	ENSDART00000135009
syt2a	ENSDARG00000025206	ENSDART00000139795
syt2a	ENSDARG00000025206	ENSDART00000190366
tspan33b	ENSDARG00000042189	ENSDART00000136751
adamts13	ENSDARG00000076270	ENSDART00000146364
adamts13	ENSDARG00000076270	ENSDART00000175207
gnal	ENSDARG00000045415	ENSDART00000140924
gnal	ENSDARG00000045415	ENSDART00000066782
	ENSDARG00000100099	ENSDART00000163816
	ENSDARG00000100099	ENSDART00000163956
tmem240a	ENSDARG00000087916	ENSDART00000129910
tmem240a	ENSDARG00000087916	ENSDART00000139974
foxo3a	ENSDARG00000023058	ENSDART00000030773
	ENSDARG00000100738	ENSDART00000171701
	ENSDARG00000097888	ENSDART00000156308
parvg	ENSDARG00000067711	ENSDART00000097522
si:ch211-198m17.1	ENSDARG00000091834	ENSDART00000127483
DNAH3	ENSDARG00000068468	ENSDART00000183613
DNAH3	ENSDARG00000068468	ENSDART00000142998
DNAH3	ENSDARG00000068468	ENSDART00000182436
or30bu1	ENSDARG00000101806	ENSDART00000159675
	ENSDARG00000105445	ENSDART00000172764
	ENSDARG00000105445	ENSDART00000172892
	ENSDARG00000105445	ENSDART00000173307
	ENSDARG00000105445	ENSDART00000172965
ap5b1	ENSDARG00000078805	ENSDART00000156526
ap5b1	ENSDARG00000078805	ENSDART00000113185
nhej1	ENSDARG00000058893	ENSDART00000148548
nhej1	ENSDARG00000058893	ENSDART00000171123
nhej1	ENSDARG00000058893	ENSDART00000148879
	ENSDARG00000088881	ENSDART00000145410
	ENSDARG00000095893	ENSDART00000149204
	ENSDARG00000095893	ENSDART00000153303
	ENSDARG00000095893	ENSDART00000149732
	ENSDARG00000095893	ENSDART00000153121
nlgn3b	ENSDARG00000062376	ENSDART00000090171
pitpnaa	ENSDARG00000039490	ENSDART00000132028
pitpnaa	ENSDARG00000039490	ENSDART00000057257
pitpnaa	ENSDARG00000039490	ENSDART00000057697
ctu1	ENSDARG00000020986	ENSDART00000164426
ctu1	ENSDARG00000020986	ENSDART00000017850
nitr12	ENSDARG00000098626	ENSDART00000161797
nitr12	ENSDARG00000098626	ENSDART00000173668
nitr12	ENSDARG00000098626	ENSDART00000173934
wfdc2	ENSDARG00000089187	ENSDART00000124091
	ENSDARG00000101165	ENSDART00000163388
stx5al	ENSDARG00000003175	ENSDART00000146315
stx5al	ENSDARG00000003175	ENSDART00000021121
si:dkeyp-68b7.12	ENSDARG00000074846	ENSDART00000183937
si:dkeyp-68b7.12	ENSDARG00000074846	ENSDART00000111512
	ENSDARG00000026759	ENSDART00000172678
	ENSDARG00000026759	ENSDART00000151899
	ENSDARG00000026759	ENSDART00000152066
	ENSDARG00000098213	ENSDART00000170377
	ENSDARG00000098213	ENSDART00000160232
kif7	ENSDARG00000033099	ENSDART00000041577
kif7	ENSDARG00000033099	ENSDART00000166519
	ENSDARG00000096970	ENSDART00000155768
	ENSDARG00000096970	ENSDART00000156592
narf	ENSDARG00000024184	ENSDART00000147618
narf	ENSDARG00000024184	ENSDART00000142716
narf	ENSDARG00000024184	ENSDART00000007053
	ENSDARG00000076901	ENSDART00000149293
nrap	ENSDARG00000009341	ENSDART00000126984
nrap	ENSDARG00000009341	ENSDART00000124920
or41a1	ENSDARG00000100546	ENSDART00000162639
gpr155a	ENSDARG00000090804	ENSDART00000186786
gpr155a	ENSDARG00000090804	ENSDART00000147034
snx27b	ENSDARG00000016977	ENSDART00000021092
alcamb	ENSDARG00000058538	ENSDART00000101204
hamp	ENSDARG00000102175	ENSDART00000167332
hamp	ENSDARG00000102175	ENSDART00000168861
nt5c1ba	ENSDARG00000018153	ENSDART00000143325
araf	ENSDARG00000054533	ENSDART00000076696
araf	ENSDARG00000054533	ENSDART00000140081
araf	ENSDARG00000054533	ENSDART00000164542
araf	ENSDARG00000054533	ENSDART00000138182
araf	ENSDARG00000054533	ENSDART00000076687
araf	ENSDARG00000054533	ENSDART00000136342
	ENSDARG00000092243	ENSDART00000138269
isca2	ENSDARG00000038154	ENSDART00000154863
isca2	ENSDARG00000038154	ENSDART00000055611
si:dkey-33c9.6	ENSDARG00000036420	ENSDART00000173471
si:dkey-33c9.6	ENSDARG00000036420	ENSDART00000173809
si:dkey-33c9.6	ENSDARG00000036420	ENSDART00000052906
rptor	ENSDARG00000098726	ENSDART00000183048
rptor	ENSDARG00000098726	ENSDART00000181577
rptor	ENSDARG00000098726	ENSDART00000170597
rptor	ENSDARG00000098726	ENSDART00000172709
	ENSDARG00000098677	ENSDART00000170143
	ENSDARG00000098677	ENSDART00000164348
	ENSDARG00000098677	ENSDART00000191414
	ENSDARG00000098677	ENSDART00000187058
	ENSDARG00000096511	ENSDART00000152231
ints15	ENSDARG00000037652	ENSDART00000054843
ints15	ENSDARG00000037652	ENSDART00000138630
camkva	ENSDARG00000027963	ENSDART00000179964
camkva	ENSDARG00000027963	ENSDART00000154333
si:ch211-149e23.4	ENSDARG00000097726	ENSDART00000155267
	ENSDARG00000105456	ENSDART00000173213
	ENSDARG00000095680	ENSDART00000141352
plod2	ENSDARG00000011821	ENSDART00000106488
plod2	ENSDARG00000011821	ENSDART00000140035
plod2	ENSDARG00000011821	ENSDART00000005901
plod2	ENSDARG00000011821	ENSDART00000128182
	ENSDARG00000095576	ENSDART00000133077
tmem54b	ENSDARG00000035875	ENSDART00000052086
rpgrb	ENSDARG00000057074	ENSDART00000124471
rpgrb	ENSDARG00000057074	ENSDART00000088624
crfb16	ENSDARG00000075181	ENSDART00000099647
crfb16	ENSDARG00000075181	ENSDART00000138443
tor1	ENSDARG00000077950	ENSDART00000139813
tor1	ENSDARG00000077950	ENSDART00000111699
flrt2	ENSDARG00000079355	ENSDART00000152246
rasgef1bb	ENSDARG00000044251	ENSDART00000064968
	ENSDARG00000096398	ENSDART00000151672
pxmp2	ENSDARG00000003144	ENSDART00000138049
pxmp2	ENSDARG00000003144	ENSDART00000026516
tmem214	ENSDARG00000016968	ENSDART00000150852
tmem214	ENSDARG00000016968	ENSDART00000150594
tmem214	ENSDARG00000016968	ENSDART00000150812
tmem214	ENSDARG00000016968	ENSDART00000128743
fa2h	ENSDARG00000090063	ENSDART00000189645
fa2h	ENSDARG00000090063	ENSDART00000165510
fa2h	ENSDARG00000090063	ENSDART00000121859
fa2h	ENSDARG00000090063	ENSDART00000190959
ndufb7	ENSDARG00000033789	ENSDART00000142069
ndufb7	ENSDARG00000033789	ENSDART00000043933
ctdp1	ENSDARG00000017522	ENSDART00000148516
ankhd1	ENSDARG00000077860	ENSDART00000169072
ankhd1	ENSDARG00000077860	ENSDART00000147947
	ENSDARG00000097025	ENSDART00000155119
trim35-31	ENSDARG00000052097	ENSDART00000057464
trim35-31	ENSDARG00000052097	ENSDART00000176133
	ENSDARG00000098675	ENSDART00000162187
cyp27b1	ENSDARG00000045015	ENSDART00000172882
si:ch73-281i18.6	ENSDARG00000101490	ENSDART00000163138
si:ch73-281i18.6	ENSDARG00000101490	ENSDART00000129570
