Gene name	Gene stable ID
fam162a	ENSDARG00000063344
	ENSDARG00000097685
caly	ENSDARG00000036008
tmem177	ENSDARG00000069301
ostc	ENSDARG00000104901
vps37c	ENSDARG00000031836
rab9b	ENSDARG00000103391
tppp3	ENSDARG00000030463
	ENSDARG00000103031
slc39a9	ENSDARG00000070447
kif16bb	ENSDARG00000080018
mtx1b	ENSDARG00000036109
gpkow	ENSDARG00000029612
samd4a	ENSDARG00000075759
	ENSDARG00000068484
dync2i2	ENSDARG00000057635
gria3a	ENSDARG00000032737
EML5	ENSDARG00000053517
zgc:174354	ENSDARG00000111826
	ENSDARG00000098335
	ENSDARG00000092715
	ENSDARG00000095834
creb3l1	ENSDARG00000015793
cdc42	ENSDARG00000044573
syt2a	ENSDARG00000025206
tspan33b	ENSDARG00000042189
adamts13	ENSDARG00000076270
gnal	ENSDARG00000045415
	ENSDARG00000100099
tmem240a	ENSDARG00000087916
foxo3a	ENSDARG00000023058
	ENSDARG00000100738
	ENSDARG00000097888
parvg	ENSDARG00000067711
si:ch211-198m17.1	ENSDARG00000091834
DNAH3	ENSDARG00000068468
or30bu1	ENSDARG00000101806
	ENSDARG00000105445
ap5b1	ENSDARG00000078805
nhej1	ENSDARG00000058893
	ENSDARG00000088881
	ENSDARG00000095893
nlgn3b	ENSDARG00000062376
pitpnaa	ENSDARG00000039490
ctu1	ENSDARG00000020986
nitr12	ENSDARG00000098626
wfdc2	ENSDARG00000089187
	ENSDARG00000101165
stx5al	ENSDARG00000003175
si:dkeyp-68b7.12	ENSDARG00000074846
	ENSDARG00000026759
	ENSDARG00000098213
kif7	ENSDARG00000033099
	ENSDARG00000096970
narf	ENSDARG00000024184
	ENSDARG00000076901
nrap	ENSDARG00000009341
or41a1	ENSDARG00000100546
gpr155a	ENSDARG00000090804
snx27b	ENSDARG00000016977
alcamb	ENSDARG00000058538
hamp	ENSDARG00000102175
nt5c1ba	ENSDARG00000018153
araf	ENSDARG00000054533
	ENSDARG00000092243
isca2	ENSDARG00000038154
si:dkey-33c9.6	ENSDARG00000036420
rptor	ENSDARG00000098726
	ENSDARG00000098677
	ENSDARG00000096511
ints15	ENSDARG00000037652
camkva	ENSDARG00000027963
si:ch211-149e23.4	ENSDARG00000097726
	ENSDARG00000105456
	ENSDARG00000095680
plod2	ENSDARG00000011821
	ENSDARG00000095576
tmem54b	ENSDARG00000035875
rpgrb	ENSDARG00000057074
crfb16	ENSDARG00000075181
tor1	ENSDARG00000077950
flrt2	ENSDARG00000079355
rasgef1bb	ENSDARG00000044251
	ENSDARG00000096398
pxmp2	ENSDARG00000003144
tmem214	ENSDARG00000016968
fa2h	ENSDARG00000090063
ndufb7	ENSDARG00000033789
ctdp1	ENSDARG00000017522
ankhd1	ENSDARG00000077860
	ENSDARG00000097025
trim35-31	ENSDARG00000052097
	ENSDARG00000098675
cyp27b1	ENSDARG00000045015
si:ch73-281i18.6	ENSDARG00000101490
slc7a10a	ENSDARG00000008100
mrpl51	ENSDARG00000041340
	ENSDARG00000087757
	ENSDARG00000110990
	ENSDARG00000092491
frs2a	ENSDARG00000045873
usp43b	ENSDARG00000088072
	ENSDARG00000096208
asmt2	ENSDARG00000070874
	ENSDARG00000105588
ipp	ENSDARG00000075339
usp3	ENSDARG00000045641
hmgcs1	ENSDARG00000103025
ugt5c3	ENSDARG00000061439
	ENSDARG00000102553
	ENSDARG00000104269
sgms2a	ENSDARG00000052520
hapln4	ENSDARG00000018542
olig3	ENSDARG00000074253
abhd15a	ENSDARG00000078768
zgc:171695	ENSDARG00000100858
TAFA1	ENSDARG00000062357
ankef1a	ENSDARG00000019135
crfb4	ENSDARG00000068711
vmo1a	ENSDARG00000043002
lsm11	ENSDARG00000090854
cdk5	ENSDARG00000056683
	ENSDARG00000098676
helz2c	ENSDARG00000012446
lonrf1	ENSDARG00000078567
prf1.2	ENSDARG00000021444
hoxb3a	ENSDARG00000029263
slc16a5a	ENSDARG00000030472
gpr176	ENSDARG00000042515
fhl2a	ENSDARG00000042018
golph3l	ENSDARG00000036943
iqch	ENSDARG00000015476
	ENSDARG00000089954
shpk	ENSDARG00000002355
si:dkey-238c7.16	ENSDARG00000069537
gfi1ab	ENSDARG00000044457
pdyn	ENSDARG00000087798
si:ch73-109d9.3	ENSDARG00000101106
b3gnt3.3	ENSDARG00000093521
agtr1b	ENSDARG00000045443
si:ch73-106l15.3	ENSDARG00000058958
tfdp1a	ENSDARG00000019293
	ENSDARG00000094455
	ENSDARG00000097849
si:dkeyp-100h4.1	ENSDARG00000078167
	ENSDARG00000115890
ss18l2	ENSDARG00000101085
use1	ENSDARG00000007250
	ENSDARG00000113690
fes	ENSDARG00000011449
zgc:123103	ENSDARG00000099200
	ENSDARG00000040250
idh3b	ENSDARG00000044753
irf4a	ENSDARG00000006560
	ENSDARG00000099086
gpr183b	ENSDARG00000074302
cdh18a	ENSDARG00000061371
mtg2	ENSDARG00000063574
pkig	ENSDARG00000086471
mief2	ENSDARG00000002377
boka	ENSDARG00000052129
si:ch211-129o18.4	ENSDARG00000098029
	ENSDARG00000097268
SRCIN1	ENSDARG00000059773
si:rp71-17i16.6	ENSDARG00000095453
	ENSDARG00000097673
tmeff1b	ENSDARG00000056740
tap2t	ENSDARG00000033446
	ENSDARG00000099899
alkbh6	ENSDARG00000077253
	ENSDARG00000096836
	ENSDARG00000105063
TNNT2	ENSDARG00000100694
setbp1	ENSDARG00000093799
	ENSDARG00000092995
golph3a	ENSDARG00000052851
dusp23a	ENSDARG00000009844
henmt1	ENSDARG00000018871
zgc:109986	ENSDARG00000102608
prkag1	ENSDARG00000003818
haus5	ENSDARG00000019156
pip4p1a	ENSDARG00000038615
	ENSDARG00000092774
	ENSDARG00000092082
ecscr	ENSDARG00000087457
med6	ENSDARG00000034734
si:ch211-247j9.1	ENSDARG00000079283
ak9	ENSDARG00000021913
gab2	ENSDARG00000105120
	ENSDARG00000098157
C18H19orf12	ENSDARG00000102929
	ENSDARG00000073688
	ENSDARG00000103180
	ENSDARG00000090814
ube2l3b	ENSDARG00000027141
	ENSDARG00000102434
	ENSDARG00000099967
	ENSDARG00000095872
acvr1bb	ENSDARG00000052142
	ENSDARG00000093111
rbm44	ENSDARG00000069758
gpr101	ENSDARG00000039218
chchd10	ENSDARG00000010717
yipf3	ENSDARG00000020449
klf17	ENSDARG00000038792
	ENSDARG00000095204
sinup	ENSDARG00000017163
GFRA2	ENSDARG00000044015
acp5b	ENSDARG00000101456
arap3	ENSDARG00000076801
chchd6a	ENSDARG00000003206
	ENSDARG00000105543
arl8a	ENSDARG00000078686
brf1a	ENSDARG00000017835
	ENSDARG00000044318
DGKZ	ENSDARG00000076025
rtraf	ENSDARG00000009253
acmsd	ENSDARG00000062549
cdkn2a/b	ENSDARG00000037262
adgre10	ENSDARG00000075855
atoh8	ENSDARG00000037555
ubap1lb	ENSDARG00000038976
QRFPR	ENSDARG00000039349
mhc1zba	ENSDARG00000036588
pcdh15a	ENSDARG00000098257
hnrnpa3	ENSDARG00000059351
	ENSDARG00000105553
itga8	ENSDARG00000078717
cdk5rap2	ENSDARG00000024219
slc15a4	ENSDARG00000102612
	ENSDARG00000075818
cacng7a	ENSDARG00000063006
	ENSDARG00000097115
P2RY8	ENSDARG00000055560
	ENSDARG00000099099
slc24a5	ENSDARG00000024771
fsta	ENSDARG00000052846
SRBD1	ENSDARG00000092855
ms4a17a.4	ENSDARG00000014024
abhd14b	ENSDARG00000100531
si:ch73-299h12.6	ENSDARG00000101319
slc22a15	ENSDARG00000055445
si:dkey-26g8.5	ENSDARG00000089750
ADGRB1	ENSDARG00000078529
	ENSDARG00000094550
tor4ab	ENSDARG00000091169
ciao2b	ENSDARG00000052010
sh3bgrl3	ENSDARG00000098075
	ENSDARG00000093164
	ENSDARG00000093780
prr36a	ENSDARG00000069595
	ENSDARG00000093621
itgb3b	ENSDARG00000045070
steap4	ENSDARG00000055901
ccl34b.1	ENSDARG00000093608
plg	ENSDARG00000023111
rpl5a	ENSDARG00000020197
deptor	ENSDARG00000040930
gnb5a	ENSDARG00000099685
nfatc3b	ENSDARG00000051729
	ENSDARG00000098514
adamts9	ENSDARG00000077778
matcap2	ENSDARG00000057227
	ENSDARG00000092014
b3gntl1	ENSDARG00000043431
phyhd1	ENSDARG00000029905
agtrap	ENSDARG00000077082
zzz3	ENSDARG00000077581
parp16	ENSDARG00000018593
nlgn4xa	ENSDARG00000079455
zgc:113298	ENSDARG00000071648
	ENSDARG00000095337
	ENSDARG00000097225
sparcl2	ENSDARG00000097063
	ENSDARG00000094616
zgc:153911	ENSDARG00000002509
