target_id	length	eff_length	est_counts	tpm
ENSDART00000162709.3	4761	4513.81	1937.4	13.4824
ENSDART00000125149.3	3218	2970.81	0	0
ENSDART00000182440.1	3291	3043.81	0	0
ENSDART00000168177.2	3370	3122.81	1483.74	14.9246
ENSDART00000171570.2	1371	1123.81	0	0
ENSDART00000162972.3	1568	1320.81	129.51	3.08003
ENSDART00000007487.9	873	625.807	1	0.0501937
ENSDART00000168926.2	1724	1476.81	1386	29.4801
ENSDART00000171190.2	3169	2921.81	23.3485	0.251014
ENSDART00000167950.2	667	419.864	2.02129	0.15122
ENSDART00000165811.2	556	308.926	2	0.20336
ENSDART00000170923.2	1670	1422.81	0	0
ENSDART00000169803.2	998	750.807	5	0.209185
ENSDART00000169180.2	3210	2962.81	1720	18.2354
ENSDART00000165795.2	1002	754.807	0	0
ENSDART00000079649.6	641	393.864	0	0
ENSDART00000160925.2	4365	4117.81	1018.93	7.77263
ENSDART00000188827.1	4409	4161.81	108.298	0.817388
ENSDART00000159824.2	734	486.822	60	3.87142
ENSDART00000171098.2	437	190.393	9	1.48485
ENSDART00000160161.2	46	22.0192	10	14.2655
ENSDART00000164734.2	55	28.6316	1	1.0971
ENSDART00000162964.2	49	24.6038	0	0
ENSDART00000163969.2	49	24.6038	4	5.10679
ENSDART00000170440.2	46	22.0192	2	2.8531
ENSDART00000157393.2	52	27.1111	5	5.79312
ENSDART00000166061.2	45	21.4314	0	0
ENSDART00000171447.2	49	24.6038	0	0
ENSDART00000168385.2	60	32.15	1	0.977032
ENSDART00000164889.2	63	32.6615	0	0
ENSDART00000167932.2	60	32.15	0	0
ENSDART00000168960.2	63	32.6615	0	0
ENSDART00000160963.2	63	32.6615	0	0
ENSDART00000166210.2	60	32.15	0	0
ENSDART00000172223.2	56	28.661	0	0
ENSDART00000161734.2	64	33.1667	0	0
ENSDART00000170448.2	57	29.661	0	0
ENSDART00000161350.2	63	32.6615	0	0
ENSDART00000186687.1	63	32.6615	0	0
ENSDART00000158609.2	60	32.15	0	0
ENSDART00000167576.2	63	32.6615	0	0
ENSDART00000186087.1	63	32.6615	0	0
ENSDART00000190142.1	66	35.1667	0	0
ENSDART00000180403.1	63	32.6615	0	0
ENSDART00000158148.2	63	32.6615	0	0
ENSDART00000166370.2	63	32.6615	0	0
ENSDART00000191760.1	63	32.6615	0	0
ENSDART00000159055.2	66	35.1667	0	0
ENSDART00000113547.3	903	655.807	52.8665	2.53217
ENSDART00000183757.1	63	32.6615	0	0
ENSDART00000180943.1	63	32.6615	0	0
ENSDART00000185656.1	66	35.1667	0	0
ENSDART00000170926.2	63	32.6615	0	0
ENSDART00000186681.1	66	35.1667	0	0
ENSDART00000182863.1	63	32.6615	0	0
ENSDART00000164894.2	66	35.1667	0	0
ENSDART00000164120.2	63	32.6615	0	0
ENSDART00000162352.2	60	32.15	0	0
ENSDART00000191731.1	63	32.6615	0	0
ENSDART00000166454.2	57	29.661	0	0
ENSDART00000167581.2	57	29.661	0	0
ENSDART00000159473.2	63	32.6615	0	0
ENSDART00000182846.1	63	32.6615	0	0
