target_id	length	eff_length	est_counts	tpm
ENSDART00000162709.3	4761	4529.87	627.667	11.8839
ENSDART00000125149.3	3218	2986.87	0	0
ENSDART00000182440.1	3291	3059.87	0	0
ENSDART00000168177.2	3370	3138.87	356.072	9.72925
ENSDART00000171570.2	1371	1139.87	0	0
ENSDART00000162972.3	1568	1336.87	10.2751	0.65919
ENSDART00000007487.9	873	641.868	84	11.224
ENSDART00000168926.2	1724	1492.87	433	24.876
ENSDART00000171190.2	3169	2937.87	874.397	25.5265
ENSDART00000167950.2	667	435.92	0	0
ENSDART00000165811.2	556	324.976	17	4.48655
ENSDART00000170923.2	1670	1438.87	0	0
ENSDART00000169803.2	998	766.868	0	0
ENSDART00000169180.2	3210	2978.87	809	23.2923
ENSDART00000165795.2	1002	770.868	2	0.222518
ENSDART00000079649.6	641	409.92	0	0
ENSDART00000160925.2	4365	4133.87	946.724	19.6418
ENSDART00000188827.1	4409	4177.87	499.759	10.2594
ENSDART00000159824.2	734	502.883	2	0.341097
ENSDART00000171098.2	437	206.256	2	0.831644
ENSDART00000160161.2	46	18.7857	3	13.6965
ENSDART00000164734.2	55	22.8333	0	0
ENSDART00000162964.2	49	19.25	0	0
ENSDART00000163969.2	49	19.25	0	0
ENSDART00000170440.2	46	18.7857	0	0
ENSDART00000157393.2	52	21.0392	0	0
ENSDART00000166061.2	45	17.7857	0	0
ENSDART00000171447.2	49	19.25	0	0
ENSDART00000168385.2	60	26.1034	0	0
ENSDART00000164889.2	63	29.1034	0	0
ENSDART00000167932.2	60	26.1034	0	0
ENSDART00000168960.2	63	29.1034	0	0
ENSDART00000160963.2	63	29.1034	0	0
ENSDART00000166210.2	60	26.1034	0	0
ENSDART00000172223.2	56	23.8333	0	0
ENSDART00000161734.2	64	30.1034	0	0
ENSDART00000170448.2	57	23.9821	0	0
ENSDART00000161350.2	63	29.1034	0	0
ENSDART00000186687.1	63	29.1034	0	0
ENSDART00000158609.2	60	26.1034	0	0
ENSDART00000167576.2	63	29.1034	0	0
ENSDART00000186087.1	63	29.1034	0	0
ENSDART00000190142.1	66	29.2031	0	0
ENSDART00000180403.1	63	29.1034	0	0
ENSDART00000158148.2	63	29.1034	0	0
ENSDART00000166370.2	63	29.1034	0	0
ENSDART00000191760.1	63	29.1034	0	0
ENSDART00000159055.2	66	29.2031	0	0
ENSDART00000113547.3	903	671.868	28.081	3.58462
ENSDART00000183757.1	63	29.1034	0	0
ENSDART00000180943.1	63	29.1034	0	0
ENSDART00000185656.1	66	29.2031	0	0
ENSDART00000170926.2	63	29.1034	0	0
ENSDART00000186681.1	66	29.2031	0	0
ENSDART00000182863.1	63	29.1034	0	0
ENSDART00000164894.2	66	29.2031	0	0
ENSDART00000164120.2	63	29.1034	0	0
